source	id	year	type	title	authors	venue	cluster	query
crossref	10.1002/spe.3271	2024	journal-article	Practice of Alibaba cloud on elastic resource provisioning for large‐scale microservices cluster	Xu M.; Yang L.; Wang Y.; Gao C.; Wen L.; Xu G.; Zhang L.; Ye K.; Xu C.	Software: Practice and Experience	K2 resource management	elastic resource provisioning microservices cluster
crossref	10.3390/electronics13153077	2024	journal-article	Microservices-Based Resource Provisioning for Multi-User Cloud VR in Edge Networks	Choi H.; Komuro N.; Kim W.	Electronics	K2 resource management	elastic resource provisioning microservices cluster
crossref	10.1109/candar64496.2024.00011	2024	proceedings-article	DRAS-OD: A Reinforcement Learning based Job Scheduler for On-Demand Job Scheduling in High-Performance Computing Systems	Cui H.; Takahashi K.; Takizawa H.	2024 Twelfth International Symposium on Computing and Networking (CANDAR)	K3 scheduling	reinforcement learning Kubernetes job scheduler
crossref	10.1002/spe.3290	2024	journal-article	CloudSim express: A novel framework for rapid low code simulation of cloud computing environments	Hewage T.; Ilager S.; Rodriguez M.; Buyya R.	Software: Practice and Experience	K4 simulation	CloudSim simulation framework cloud computing environments
crossref	10.1109/conit61985.2024.10626633	2024	proceedings-article	Analysis of Workload in Google Cluster Trace based on Job Termination Events	Jomah S.; Aji S.	2024 4th International Conference on Intelligent Technologies (CONIT)	K4 simulation	cluster trace analysis Alibaba Google resource over-provisioning
crossref	10.69758/gimrj2406i8v12p111	2024	journal-article	Heart Failure Prediction  Heart Failure Prediction Using Machine Learning	Watekar A.	Gurukul International Multidisciplinary Research Journal	K5 continuous integration	continuous integration build failure prediction machine learning
crossref	10.1353/jaa.00007	2024	journal-article	Deployment and Integration of Machine Learning Methods with Continuous Integration/Continuous Delivery	Wham D.	Journal of Advancement Analytics	K5 continuous integration	continuous integration build failure prediction machine learning
crossref	10.53070/bbd.1410394	2024	journal-article	NotFYCEX: A Simulation Based Price Prediction and Notification System Using Continuous Machine Learning Method	OSEGİ E.; ANİREH V.; MGBEAFULİKE J.	Computer Science	K5 continuous integration	continuous integration build failure prediction machine learning
crossref	10.1007/979-8-8688-0407-6_4	2024	book-chapter	CI/CD Pipeline in Cloud-Native DevOps	Ahmed M.	Cloud-Native DevOps	K5 continuous integration	CI/CD pipeline cost cloud resource optimization
crossref	10.63282/3050-9262.ijaidsml-v5i4p117	2024	journal-article	AI-Augmented CI/CD Pipeline Optimization for Scalable Cloud-Native Deployment	Vanama S.	International Journal of Artificial Intelligence, Data Science, and Machine Learning	K5 continuous integration	CI/CD pipeline cost cloud resource optimization
crossref	10.1007/979-8-8688-0388-8_6	2024	book-chapter	Cloud Cost Optimization	Kanumuri S.; Zeier M.	Scaling Cloud FinOps	K6 economics and sustainability	FinOps cloud cost optimization
crossref	10.17762/ijisae.v12i22s.7719	2024	journal-article	FinOps-Driven Strategies for Large-Scale Cloud Cost Optimization		International Journal of Intelligent Systems and Applications in Engineering	K6 economics and sustainability	FinOps cloud cost optimization
crossref	10.1109/igsc64514.2024.00014	2024	proceedings-article	U-DUCT: Uncertainty-aware Dynamic Unified Carbon Modeling Tool for Datacenter Scheduling	Guan W.; Zhao Y.; Ababei C.	2024 IEEE 15th International Green and Sustainable Computing Conference (IGSC)	K6 economics and sustainability	carbon aware scheduling datacenter
crossref	10.67599/anr-24-ias2-0004	2024	grant				K7 mlops and model maintenance	Machine Learning Operations MLOps overview definition architecture
crossref	10.1007/979-8-8688-0376-5_9	2024	book-chapter	The Future of MLOps	Luu H.; Pumperla M.; Zhang Z.	MLOps with Ray	K7 mlops and model maintenance	Machine Learning Operations MLOps overview definition architecture
crossref	10.1007/979-8-8688-0376-5_1	2024	book-chapter	Introduction to MLOps	Luu H.; Pumperla M.; Zhang Z.	MLOps with Ray	K7 mlops and model maintenance	Machine Learning Operations MLOps overview definition architecture
crossref	10.1007/979-8-8688-0376-5_2	2024	book-chapter	MLOps Adoption Strategies and Case Studies	Luu H.; Pumperla M.; Zhang Z.	MLOps with Ray	K7 mlops and model maintenance	Machine Learning Operations MLOps overview definition architecture
crossref	10.1007/979-8-8688-1076-3_6	2024	book-chapter	Performance Efficiency in MLOps	Sendas N.; Rajale D.	The Definitive Guide to Machine Learning Operations in AWS	K7 mlops and model maintenance	Machine Learning Operations MLOps overview definition architecture
crossref	10.67599/anr-24-ias2-0002	2024	grant				K7 mlops and model maintenance	MLOps continuous delivery machine learning systems practices
crossref	10.21275/sr25521023904	2025	journal-article	Automating AWS: Right-Sizing with AI and Machine Learning	Thodupunuri M.	International Journal of Science and Research (IJSR)	K1 forecasting	Kubernetes resource request right-sizing machine learning
crossref	10.1201/9781003593034-36	2025	book-chapter	Orchestration for resource consumption of kubernetes container systems	Shukla S.; Pandey B.; Pandey M.; Mishra A.; Singh A.	Recent Trends in Intelligent Computing and Communication	K1 forecasting	predicting resource consumption Kubernetes container systems
crossref	10.34218/ijit_06_02_002	2025	journal-article	CLIMATE-CONSCIOUS KUBERNETES: MEASURING AND OPTIMIZING ENERGY CONSUMPTION IN CONTAINER ENVIRONMENTS	Adebola K.	INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY	K1 forecasting	predicting resource consumption Kubernetes container systems
crossref	10.1201/9781003652755-59	2025	book-chapter	Workload prediction in cloud computing: A machine learning-based approach	Kaur M.; Walia A.; Akashdeep .; Malhotra A.; Bhatia A.	Innovations in Computing	K1 forecasting	cloud workload prediction machine learning survey
crossref	10.1109/ines67149.2025.11078195	2025	proceedings-article	Energy-aware cloud workload prediction method using machine learning techniques	Gáspár B.; Farkas A.; Kertész G.	2025 IEEE 29th International Conference on Intelligent Engineering Systems (INES)	K1 forecasting	cloud workload prediction machine learning survey
crossref	10.1201/9781003685876-26	2025	book-chapter	Workload prediction in cloud computing: A machine learning-based approach	Shrimal V.; Gupta A.; Verma M.	Engineering Science and Technology: Innovations for the Future	K1 forecasting	cloud workload prediction machine learning survey
crossref	10.2139/ssrn.5510058	2025	posted-content	Cloud-Native Machine Learning Models for Intelligent Workload Orchestration in ERP Systems	Lawal S.		K1 forecasting	cloud workload prediction machine learning survey
crossref	10.21275/sr25819102904	2025	journal-article	The Vertical Pod Autoscaler and Pod Disruption Budget Chicken-and-Egg Problem: Analysis and Solutions for Kubernetes Workload Management	Tadi G.	International Journal of Science and Research (IJSR)	K2 resource management	vertical pod autoscaler resource recommendation
crossref	10.1109/iciip68302.2025.11346207	2025	proceedings-article	DRL-KubeScale: A Reinforcement Learning Based Autoscaler for SLA-Aware Pod Optimization in Kubernetes	Padhy A.	2025 Eighth International Conference on Image Information Processing (ICIIP)	K2 resource management	vertical pod autoscaler resource recommendation
crossref	10.2139/ssrn.5244267	2025	posted-content	Enhancing Fog Iot Container Deployment: A Customizable Kubernetes Scheduler	Gómez-González A.; Carrión C.; Caminero B.		K3 scheduling	Kubernetes scheduler simulator evaluation
crossref	10.1007/s10586-024-04763-2	2025	journal-article	Adaptive virtual machine placement: a dynamic approach for energy-efficiency, QoS enhancement, and security optimization	Shirafkan H.; Shameli-Sendi A.	Cluster Computing	K3 scheduling	container bin packing placement energy efficiency cluster
crossref	10.1109/iscc65549.2025.11326237	2025	proceedings-article	Latency and Bandwidth-Aware Orchestrator for QoS-Sensitive Applications Using a Reinforcement Learning-Based Scheduler with Kubernetes	Aba M.; Brahmi A.; Bouasker H.; Jouaber B.; Castel-Taleb H.	2025 IEEE Symposium on Computers and Communications (ISCC)	K3 scheduling	reinforcement learning Kubernetes job scheduler
crossref	10.36227/techrxiv.175022176.66586321/v1	2025	posted-content	Simulation of a Basic Cloud Data Centre using CloudSim	Adil M.		K4 simulation	CloudSim simulation framework cloud computing environments
crossref	10.1002/spe.3413	2025	journal-article	<scp>CloudSim 7G</scp>: An Integrated Toolkit for Modeling and Simulation of Future Generation Cloud Computing Environments	Andreoli R.; Zhao J.; Cucinotta T.; Buyya R.	Software: Practice and Experience	K4 simulation	CloudSim simulation framework cloud computing environments
